DENOM_SOCIAL|DT_REG|DT_CANCEL|SIT|DT_INI_SIT|CD_CVM|SETOR_ATIV|CONTROLE_ACIONARIO
CIA TECIDOS SANTANENSE|1984-12-20||ATIVO|1984-12-20|4081|Têxtil e Vestuário|PRIVADO
CACHOEIRA VELONORTE|1969-08-22|2016-07-08|CANCELADA|2016-07-08|4111|Têxtil e Vestuário|PRIVADO
CIA TEXTIL CASTANHAL|1971-10-19|1999-03-08|CANCELADA|1999-03-08|4120|Têxtil e Vestuário|PRIVADO
MASSA FALIDA DE COMPANHIA TEXTIL FERREIRA GUIMARAES|1969-11-01|2011-01-04|CANCELADA|2011-01-04|4138|Têxtil e Vestuário|PRIVADO
KARSTEN SA|1971-12-29||ATIVO|1971-12-29|4146|Têxtil e Vestuário|PRIVADO
CIA THERMAS RIO QUENTE|1973-12-27|2004-07-14|CANCELADA|2004-07-14|4154|Hospedagem e Turismo|PRIVADO
VALE S.A.|1970-01-02||ATIVO|1970-01-02|4170|Extração Mineral|PRIVADO
CIA VINICOLA RIO GRANDENSE|1966-05-02|1993-11-29|CANCELADA|1993-11-29|4197|Bebidas e Fumo|PRIVADO
CIA WETZEL INDL|1970-11-24|2005-08-09|CANCELADA|2005-08-09|4200|Petroquímicos e Borracha|PRIVADO
CIMBA SA INDUSTRIA E COMERCIO|1971-09-29|2005-08-09|CANCELADA|2005-08-09|4235|Metalurgia e Siderurgia|PRIVADO
CIMENTO ARATU SA|1969-09-08|1995-12-08|CANCELADA|1995-12-08|4243|Extração Mineral|PRIVADO
CIMENTO CAUE SA|1969-07-04|1994-09-26|CANCELADA|1994-09-26|4251|Extração Mineral|PRIVADO
CIMENTO ITAU DE CORUMBA SA|1971-07-23|1988-03-11|CANCELADA|1988-03-11|4260|Extração Mineral|PRIVADO
CIMENTO PORTLAND M GROSSO SA|1968-06-05|1995-06-14|CANCELADA|1995-06-14|4278|Extração Mineral|PRIVADO
CIMENTO SANTA RITA SA|1952-06-04|1990-07-24|CANCELADA|1990-07-24|4286|Extração Mineral|PRIVADO
CIMENTO TOCANTINS SA|1970-03-23|1993-04-23|CANCELADA|1993-04-23|4294|Extração Mineral|PRIVADO
CIMENTO TUPI SA|1983-04-14|1990-11-28|CANCELADA|1990-11-28|4308|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CIMETAL SIDERURGIA SA - EM LIQUIDAÇÃO|1972-01-27|2005-04-12|CANCELADA|2005-04-12|4324|Metalurgia e Siderurgia|PRIVADO
CIPA CIA INDL PRODS ALIM|1982-11-23|1991-07-19|CANCELADA|1991-07-19|4332|Alimentos|PRIVADO
CIQUINE CIA INDS QUIMS DO NE|1969-01-22|1990-06-20|CANCELADA|1990-06-20|4340|Petroquímicos e Borracha|PRIVADO
ELEKEIROZ S/A|1971-08-18|2020-07-01|CANCELADA|2020-07-01|4359|Petroquímicos e Borracha|PRIVADO
COMERCIAL IMPORTADORA SA|1977-07-20|2005-12-20|CANCELADA|2005-12-20|4375|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
CITROBRASIL SA|1977-07-20|1988-02-23|CANCELADA|1988-02-23|4391|Comércio (Atacado e Varejo)|PRIVADO
CLIMAX INDUSTRIA E COMERCIO SA|1969-09-17|1992-12-29|CANCELADA|1992-12-29|4413|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
RHODIA AGRO SA|1982-07-12|1990-01-09|CANCELADA|1990-01-09|4421|Têxtil e Vestuário|PRIVADO
COBRASFER SA|1973-10-02|2005-12-20|CANCELADA|2005-12-20|4430|Comércio (Atacado e Varejo)|PRIVADO
COBRASMA SA|1979-12-12||ATIVO|1979-12-12|4448|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
COEMP COMERCIO E EMPREEND SA|1977-07-20|1993-12-14|CANCELADA|1993-12-14|4464|Construção Civil, Mat. Constr. e Decoração|PRIVADO
COEST CONSTRUTORA SA|1977-07-20|2010-01-04|CANCELADA|2010-01-04|4472|Construção Civil, Mat. Constr. e Decoração|PRIVADO
COIRG CIA INDUSTRIAL RIOGRANDENSE NORTE|1977-07-20|2004-09-21|CANCELADA|2004-09-21|4499|Alimentos|PRIVADO
COLMEIA SA IND.PAULISTA RAD.|1977-07-20|1994-03-03|CANCELADA|1994-03-03|4502|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
GRAZZIOTIN SA|1979-01-31||ATIVO|1979-01-31|4537|Comércio (Atacado e Varejo)|PRIVADO
COMERCIO E INDUSTRIA INDUCO SA|1972-07-04|2005-12-20|CANCELADA|2005-12-20|4545|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
COMIND SA SERV TEC PROC DADOS|1981-10-28|1992-03-18|CANCELADA|1992-03-18|4561|Comunicação e Informática|PRIVADO
COMPAR CIA PAR REFRIGERANTES|1977-07-20|1993-02-03|CANCELADA|1993-02-03|4588|Bebidas e Fumo|PRIVADO
COMPESCA CIA BRAS DE PESCA - EM LIQUIDAÇÃO|1977-07-20|2021-08-20|CANCELADA|2021-08-20|4596|Pesca|PRIVADO
CONCIC ENGENHARIA SA|1979-11-20|1998-08-07|CANCELADA|1998-08-07|4600|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CONCRETEX SA|1972-08-09|1993-09-17|CANCELADA|1993-09-17|4618|Construção Civil, Mat. Constr. e Decoração|PRIVADO
COMMANDER SA|1980-12-30|1991-07-09|CANCELADA|1991-07-09|4634|Metalurgia e Siderurgia|PRIVADO
GUARARAPES CONFECÇÕES SA|1958-10-16||ATIVO|1958-10-16|4669|Têxtil e Vestuário|PRIVADO
CONFORJA SA CONEXOES DE ACO|1981-12-17|2005-12-20|CANCELADA|2005-12-20|4677|Metalurgia e Siderurgia|PRIVADO
CONPEL CIA. NORDESTINA DE PAPEL - EM RECUPERAÇÃO JUDICIAL|1977-07-20||ATIVO|1977-07-20|4685|Embalagens|PRIVADO
CONSERVAS ODERICH SA|1977-07-20||ATIVO|1977-07-20|4693|Alimentos|PRIVADO
CONSTRUCOES COM CAM CORREA SA|1977-07-20|1998-09-30|CANCELADA|1998-09-30|4715|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CONST ADOLPHO LINDENBERG SA|1977-07-20||ATIVO|1977-07-20|4723|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CONVAP ENG CONSTRUCOES SA|1982-01-11|1997-07-29|CANCELADA|1997-07-29|4731|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CONST ANDRADE GUTIERREZ SA|1977-07-20|1991-03-06|CANCELADA|1991-03-06|4740|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CONSTRUTORA BETER SA|1977-07-20|2016-08-30|CANCELADA|2016-08-30|4758|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CONST CIVIL INDL SA|1977-07-20|1991-12-26|CANCELADA|1991-12-26|4766|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CONST LIX DA CUNHA SA|1977-07-20|2019-08-23|CANCELADA|2019-08-23|4774|Construção Civil, Mat. Constr. e Decoração|PRIVADO
MENDES JUNIOR ENGENHARIA SA|1977-07-20||ATIVO|1977-07-20|4782|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CONSTRUTORA NORBERTO ODEBRECHT S.A.|1977-07-20|2002-04-26|CANCELADA|2002-04-26|4790|Construção Civil, Mat. Constr. e Decoração|PRIVADO
CONSUL SA|1976-01-02|1994-05-16|CANCELADA|1994-05-16|4804|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
COPALA INDUSTRIAS REUNIDAS SA|1977-07-20|2010-01-04|CANCELADA|2010-01-04|4812|Metalurgia e Siderurgia|PRIVADO
BRASKEM S.A.|1978-12-18||ATIVO|1978-12-18|4820|Petroquímicos e Borracha|PRIVADO
CORBETTA SA IND COM|1980-09-10|2007-08-07|CANCELADA|2007-08-07|4839|Têxtil e Vestuário|PRIVADO
COREVA SA PRO AGRI PEC IND COM|1971-07-28|2005-12-20|CANCELADA|2005-12-20|4847|Petroquímicos e Borracha|PRIVADO
CORREA RIBEIRO SA COM IND|1977-07-20||ATIVO|1977-07-20|4863|Construção Civil, Mat. Constr. e Decoração|PRIVADO HOLDING
COTONIFICIO BELTRAMO SA|1923-05-23|1988-10-19|CANCELADA|1988-10-19|4871|Têxtil e Vestuário|PRIVADO
CAMPINENSE INDUSTRIAS GERAIS SA|1977-11-24|2006-03-21|CANCELADA|2006-03-21|4880|Têxtil e Vestuário|PRIVADO
COTONOFICIO JOSE RUFINO SA|1981-10-28|2005-12-20|CANCELADA|2005-12-20|4901|Têxtil e Vestuário|PRIVADO
TRIKEM SA|1979-10-10|2004-01-15|CANCELADA|2004-01-15|4910|Petroquímicos e Borracha|PRIVADO
CREDICARD SA ADMN CARTOES CRED|1981-10-02|1987-07-01|CANCELADA|1987-07-01|4936|Serviços Diversos|PRIVADO
CREMER SA|1969-08-20|2004-05-07|CANCELADA|2004-05-07|4960|Têxtil e Vestuário|PRIVADO
CRUZEIRO DO SUL SA SERV AEREOS|1979-09-25|1993-01-27|CANCELADA|1993-01-27|4995|Serviços Transporte e Logística|PRIVADO
CURTUME INDL NE B SA CURTINBRA|1977-07-20|1994-04-27|CANCELADA|1994-04-27|5002|Têxtil e Vestuário|PRIVADO
CURTUMES DO NORDESTE SA|1977-07-20|2005-08-09|CANCELADA|2005-08-09|5010|Têxtil e Vestuário|PRIVADO
D F VASCONC SA OPT MEC A PREC|1977-07-20|2007-04-20|CANCELADA|2007-04-20|5029|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
DACUNHA SA|1977-07-20|1992-11-23|CANCELADA|1992-11-23|5037|Serviços Transporte e Logística|PRIVADO
DADALTO SA|1982-12-17|1990-06-07|CANCELADA|1990-06-07|5045|Comércio (Atacado e Varejo)|PRIVADO
DE ANTONI SA MAQS IMPL AGRIC|1977-07-20|1992-08-13|CANCELADA|1992-08-13|5070|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
DE MAIO GALLO S.A IND. COM. PÇS P/ AUTOM|1977-07-20|2004-06-22|CANCELADA|2004-06-22|5088|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
DEDINI SA SIDERURGICA|1980-12-23|1990-10-12|CANCELADA|1990-10-12|5100|Metalurgia e Siderurgia|PRIVADO
DESTILARIA R S SA|1982-06-14|1986-12-10|CANCELADA|1986-12-10|5142|Petroquímicos e Borracha|PRIVADO
DHB IND E COMERCIO SA|1978-03-21|2017-04-12|CANCELADA|2017-04-12|5150|Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças|PRIVADO
DIAMETRO EMPREENDIMENTOS SA|1977-07-20|1991-03-01|CANCELADA|1991-03-01|5169|Construção Civil, Mat. Constr. e Decoração|PRIVADO
DISMAC INDUSTRIAL SA|1982-03-18|1987-10-30|CANCELADA|1987-10-30|5177|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
DISTRIB PRODUTOS PETROLEO IPIRANGA S.A.|1969-05-14|2008-07-17|CANCELADA|2008-07-17|5193|Petróleo e Gás|PRIVADO
DOHLER S.A.|1973-12-26||ATIVO|1973-12-26|5207|Têxtil e Vestuário|PRIVADO
DOMINIUM SA|1977-07-20|2005-03-22|CANCELADA|2005-03-22|5215|Alimentos|PRIVADO
DOVA SA|1971-02-16|1998-11-14|CANCELADA|1998-11-14|5223|Metalurgia e Siderurgia|PRIVADO
DROGARIA FARM CATARINENSE SA|1977-07-20|1992-12-14|CANCELADA|1992-12-14|5240|Comércio (Atacado e Varejo)|PRIVADO
RAIA DROGASIL S.A.|1977-07-20||ATIVO|1977-07-20|5258|Comércio (Atacado e Varejo)|PRIVADO
DURATEX SA|1966-04-26|2009-08-31|CANCELADA|2009-08-31|5274|Construção Civil, Mat. Constr. e Decoração|PRIVADO
MUNDIAL S.A - PRODUTOS DE CONSUMO|1979-12-12||ATIVO|1979-12-12|5312|Têxtil e Vestuário|PRIVADO
ECISA ENG COM E INDUSTRIA SA|1977-07-20|2005-04-08|CANCELADA|2005-04-08|5339|Construção Civil, Mat. Constr. e Decoração|PRIVADO
EDISA HEWLETT-PACKARD SA|1977-12-29|1993-06-09|CANCELADA|1993-06-09|5347|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
EDITORA DE GUIAS LTB SA|1977-07-20|1987-09-30|CANCELADA|1987-09-30|5355|Gráficas e Editoras|PRIVADO
EICOM ENG IND E COMERCIO SA|1963-10-14|1990-03-09|CANCELADA|1990-03-09|5371|Metalurgia e Siderurgia|PRIVADO
ELECTRO AÇO ALTONA S/A|1950-01-19||ATIVO|1950-01-19|5380|Metalurgia e Siderurgia|PRIVADO
ELETRODIGI ELETR DIGITAL SA|1983-11-04|1985-04-25|CANCELADA|1985-04-25|5398|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
WEG SA|1982-02-09||ATIVO|1982-02-09|5410|Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças|PRIVADO HOLDING
ELETROMOURA SA|1976-08-25|2007-03-19|CANCELADA|2007-03-19|5428|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ELEVADORES SUR SA IND COM|1981-05-20|1999-01-12|CANCELADA|1999-01-12|5436|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ELGIN MAQUINAS SA|1983-01-10|1985-08-22|CANCELADA|1985-08-22|5444|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ELIZIARIO SA CORROC E ONIBUS|1981-12-03|1988-01-05|CANCELADA|1988-01-05|5460|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ELUMA SA INDUSTRIA E COMERCIO|1969-04-18|2010-03-31|CANCELADA|2010-03-31|5479|Metalurgia e Siderurgia|PRIVADO
EMBAUBA FLORESTAL SA|1983-02-25|2005-03-22|CANCELADA|2005-03-22|5487|Reflorestamento|PRIVADO
EMBAUBA SA DES ENERGETICO|1983-10-31|2005-03-22|CANCELADA|2005-03-22|5495|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
EMBRAER EMP BRAS AERON SA|1977-07-20|2006-03-31|CANCELADA|2006-03-31|5509|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
EMILIO ROMANI SA|1977-07-20|2007-08-07|CANCELADA|2007-08-07|5525|Agricultura (Açúcar, Álcool e Cana)|PRIVADO
EMP BRAS COMPRES SA - EMBRACO|1974-11-13|2006-04-30|CANCELADA|2006-04-30|5550|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
MASSA FALIDA DA ENCOL SA ENG COM E INDUSTRIA|1982-09-22|1988-03-11|CANCELADA|1988-03-11|5622|Construção Civil, Mat. Constr. e Decoração|PRIVADO
GERAL DE CONCRETO S/A|1977-07-20|2002-12-30|CANCELADA|2002-12-30|5630|Construção Civil, Mat. Constr. e Decoração|PRIVADO
ENGESA ENGO ESPECIALIZADOS SA|1977-07-20|2005-12-20|CANCELADA|2005-12-20|5649|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ENGEVIX ENGENHARIA SA|1977-07-20|1994-04-14|CANCELADA|1994-04-14|5657|Construção Civil, Mat. Constr. e Decoração|PRIVADO
VILLARES MECANICA SA|1980-05-15|1993-08-19|CANCELADA|1993-08-19|5665|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
ERNESTO NEUGEBAUER SA IND REU|1977-07-20|2000-05-23|CANCELADA|2000-05-23|5703|Alimentos|PRIVADO
ESCRITORIO CONS ENG ECEL SA|1977-07-20|2005-12-20|CANCELADA|2005-12-20|5720|Construção Civil, Mat. Constr. e Decoração|PRIVADO
ESPLANADA CONF NE SA ESPLANORD|1982-12-28|1988-11-28|CANCELADA|1988-11-28|5738|Têxtil e Vestuário|PRIVADO
ESPLANADA HOTEIS SA|1969-11-26|1990-05-07|CANCELADA|1990-05-07|5746|Hospedagem e Turismo|PRIVADO
ESTACON ENGENHARIA SA|1977-07-20|2001-08-20|CANCELADA|2001-08-20|5754|Construção Civil, Mat. Constr. e Decoração|PRIVADO
ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL|1970-11-17||ATIVO|1970-11-17|5762|Construção Civil, Mat. Constr. e Decoração|PRIVADO
EUCATEX SA IND E COMERCIO|1969-08-20||ATIVO|1969-08-20|5770|Construção Civil, Mat. Constr. e Decoração|PRIVADO
TROMBINI PAPEL E EMBALAGENS SA|1977-07-20|1998-11-20|CANCELADA|1998-11-20|5797|Papel e Celulose|PRIVADO
FAB CHOCOLATE SATURNO SA|1969-11-07|1986-05-14|CANCELADA|1986-05-14|5800|Alimentos|PRIVADO
SANTHER FAB.DE PAPEL SANTA THEREZINHA SA|1980-06-04|1988-01-29|CANCELADA|1988-01-29|5819|Papel e Celulose|PRIVADO
MASSA FALIDA DA FÁBRICA DE TECIDOS CARLOS RENAUX S.A.|1969-11-13|2016-01-07|CANCELADA|2016-01-07|5827|Têxtil e Vestuário|PRIVADO
FAB VASELINA DA BAHIA SA|1971-01-06|1996-05-08|CANCELADA|1996-05-08|5835|Petroquímicos e Borracha|PRIVADO
FAB MIN ELETROD SOLD DENVER SA|1968-10-28|2010-01-04|CANCELADA|2010-01-04|5851|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
FABRIMAR SA IND E COMERCIO|1973-12-19|1990-12-14|CANCELADA|1990-12-14|5860|Construção Civil, Mat. Constr. e Decoração|PRIVADO
FAE - FERRAGENS APARELHOS ELÉTRICOS S/A|1975-12-11|2011-12-19|CANCELADA|2011-12-19|5878|Metalurgia e Siderurgia|PRIVADO
FAROL SA IND GAUCHA FAR OLEOS|1980-06-04|2005-03-22|CANCELADA|2005-03-22|5886|Alimentos|PRIVADO
FATOR EMPREENDIMENTOS IMOBILIÁRIOS SA|1977-07-20|2010-01-04|CANCELADA|2010-01-04|5894|Construção Civil, Mat. Constr. e Decoração|PRIVADO
FATSUI BRASIL SA EMP GERAL MIN|1982-06-17|2005-03-22|CANCELADA|2005-03-22|5908|Extração Mineral|PRIVADO
FECULARIA BARBOSA MELLO SA|1967-08-30|1986-10-01|CANCELADA|1986-10-01|5916|Alimentos|PRIVADO
FERRAGENS DEMELLOT S/A|1977-07-20|2012-07-09|CANCELADA|2012-07-09|5924|Metalurgia e Siderurgia|PRIVADO
FERTIBASE SA|1972-05-02|2005-12-20|CANCELADA|2005-12-20|5932|Petroquímicos e Borracha|PRIVADO
FERTIBRAS SA|1980-12-23|2007-01-11|CANCELADA|2007-01-11|5940|Petroquímicos e Borracha|PRIVADO
FERTIPLAN SA|1971-03-11|2005-12-20|CANCELADA|2005-12-20|5959|Petroquímicos e Borracha|PRIVADO
FERTISUL SA|1971-01-28|1998-08-27|CANCELADA|1998-08-27|5967|Petroquímicos e Borracha|PRIVADO
FIACAO TECELAGEM JUTA AMAZ SA|1971-12-24|2011-01-04|CANCELADA|2011-01-04|5975|Têxtil e Vestuário|PRIVADO
FIACAO E TECELAGEM SAO JOSE S/A - EM RECUPERAÇÃO JUDICIAL|1971-10-18||ATIVO|2012-11-09|5983|Têxtil e Vestuário|PRIVADO
VICUNHA TEXTIL SA|1971-12-27|2013-12-12|CANCELADA|2013-12-12|5991|Têxtil e Vestuário|PRIVADO
FIBAM CIA INDUSTRIAL - EM RECUPERAÇÃO JUDICIAL|1972-08-03|2021-06-24|CANCELADA|2021-06-24|6017|Metalurgia e Siderurgia|PRIVADO
FICHET SA|1977-07-20|2006-03-21|CANCELADA|2006-03-21|6025|Metalurgia e Siderurgia|PRIVADO
RHODIA-STER FIPACK SA|1970-12-11|1998-09-04|CANCELADA|1998-09-04|6106|Têxtil e Vestuário|PRIVADO
FIVES LILLE INDL NORDESTE SA|1970-09-23|1993-03-09|CANCELADA|1993-03-09|6114|Outras Atividades Industriais|PRIVADO
FLAMEX SA IND COM EXP IMP|1977-07-20|2005-12-20|CANCELADA|2005-12-20|6122|Comércio (Atacado e Varejo)|PRIVADO
FNV VEICULOS EQUIPS SA|1969-08-29|1993-02-02|CANCELADA|1993-02-02|6149|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
TAURUS ARMAS S.A.|1982-03-02||ATIVO|1982-03-02|6173|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
FRANCISCO CASTRO CI E AGRIC SA|1977-07-20|2005-08-09|CANCELADA|2005-08-09|6190|Alimentos|PRIVADO
FRAS-LE SA|1977-07-20||ATIVO|1977-07-20|6211|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
FRIGOBRAS CIA BRAS FRIGORIFICO|1977-07-20|1998-01-21|CANCELADA|1998-01-21|6220|Alimentos|PRIVADO
BORELLA SA IND E COMERCIO|1980-12-03|1987-01-21|CANCELADA|1987-01-21|6238|Alimentos|PRIVADO
FRICASA ALIMENTOS SA|1977-07-20|1996-12-10|CANCELADA|1996-12-10|6246|Alimentos|PRIVADO
SULINA ALIMENTOS SA|1977-07-20|1990-06-28|CANCELADA|1990-06-28|6254|Alimentos|PRIVADO
FRIGORIFICO NORTE MINAS SA|1977-07-20|2005-03-22|CANCELADA|2005-03-22|6262|Alimentos|PRIVADO
FRIL FRIGORIF DA LUZ SA|1977-11-04|1985-11-20|CANCELADA|1985-11-20|6270|Alimentos|PRIVADO
FRUTOS TROPICAIS SA|1977-07-20|2006-11-22|CANCELADA|2006-11-22|6297|Alimentos|PRIVADO
FUJI ELETRIC NORDESTE SA|1975-07-18|1995-09-14|CANCELADA|1995-09-14|6300|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
FUJIWARA HISATO SA COM IND|1977-07-20|1991-03-01|CANCELADA|1991-03-01|6319|Alimentos|PRIVADO
TUPY SA|1966-07-01||ATIVO|1966-07-01|6343|Metalurgia e Siderurgia|PRIVADO
GAZOLA SA INDÚSTRIA METALURGICA|1932-12-28|2012-05-07|CANCELADA|2012-05-07|6378|Metalurgia e Siderurgia|PRIVADO
GECOSA I INT GERVASIO COSTA SA|1977-07-20|2010-01-04|CANCELADA|2010-01-04|6394|Alimentos|PRIVADO
GELAR SA INDS ALIMENTICIAS|1977-07-20|2005-03-22|CANCELADA|2005-03-22|6408|Alimentos|PRIVADO
GEMA SA EQUIPS INDUSTRIAIS|1972-11-22|1985-07-23|CANCELADA|1985-07-23|6424|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
GEOTECNICA SA|1982-12-22|2006-11-22|CANCELADA|2006-11-22|6440|Construção Civil, Mat. Constr. e Decoração|PRIVADO
GERMANI CIA PARANAENSE ALIMS|1977-07-20|1990-12-21|CANCELADA|1990-12-21|6459|Alimentos|PRIVADO
GETEC GUANABARA QUIM INDL SA|1970-01-26|1991-12-26|CANCELADA|1991-12-26|6475|Petroquímicos e Borracha|PRIVADO
GLASSLITE SA IND DE PLASTICOS|1980-11-11|1998-04-16|CANCELADA|1998-04-16|6483|Outras Atividades Industriais|PRIVADO
VIA S.A.|1981-11-24||ATIVO|1981-11-24|6505|Comércio (Atacado e Varejo)|PRIVADO
CIMOB PARTICIPAÇÕES SA|1977-07-20|2012-07-09|CANCELADA|2012-07-09|6513|Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração|PRIVADO
GOYANA SA I BRAS MATS PLASTS|1968-03-04|2005-03-22|CANCELADA|2005-03-22|6530|Petroquímicos e Borracha|PRIVADO
GRANIMAR SA MARMORES GRANITOS|1972-11-09|1991-03-20|CANCELADA|1991-03-20|6564|Extração Mineral|PRIVADO
GRANOLEO SA CI SEMS OLEAGS DER|1981-10-09|2008-03-05|CANCELADA|2008-03-05|6572|Alimentos|PRIVADO
GYPSUM DO NE SA IC DE GESSO|1968-09-06|2005-03-22|CANCELADA|2005-03-22|6610|Extração Mineral|PRIVADO
HERCULES S/A - FABRICA DE TALHERES|1968-11-01||ATIVO|1968-11-01|6629|Metalurgia e Siderurgia|PRIVADO
FIBRASIL TEXTIL SA|1982-12-17|2001-07-11|CANCELADA|2001-07-11|6637|Têxtil e Vestuário|PRIVADO
HINDI CIA BRAS DE HABITACOES|1977-07-20|1990-11-29|CANCELADA|1990-11-29|6661|Construção Civil, Mat. Constr. e Decoração|PRIVADO
HOTEIS E TURISMO GUANABARA SA|1968-07-17|2015-03-13|CANCELADA|2015-03-13|6696|Hospedagem e Turismo|PRIVADO
HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL|1980-08-08||ATIVO|1980-08-08|6700|Hospedagem e Turismo|PRIVADO
HOTEIS TANNENHOF SA|1981-05-20|1990-09-19|CANCELADA|1990-09-19|6718|Hospedagem e Turismo|PRIVADO
FERTILIZANTES SERRANA SA|1970-12-12|2000-08-31|CANCELADA|2000-08-31|6742|Petroquímicos e Borracha|PRIVADO
POLIMIX CONCRETO S/A|1980-06-27|1988-06-08|CANCELADA|1988-06-08|6777|Construção Civil, Mat. Constr. e Decoração|PRIVADO
ICAL IND DE CALCINACAO SA|1982-09-28|1989-02-23|CANCELADA|1989-02-23|6785|Extração Mineral|PRIVADO
ICANOR SA ARAMES E CABOS|1971-07-07|1984-10-26|CANCELADA|1984-10-26|6793|Outras Atividades Industriais|PRIVADO
IFEMA SA I DE CONDS ELETRICOS|1972-09-19|1989-09-19|CANCELADA|1989-09-19|6807|Metalurgia e Siderurgia|PRIVADO
IGB ELETRÔNICA S.A. - EM RECUPERAÇÃO JUDICIAL|1973-12-19||ATIVO|2014-10-01|6815|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
IMCOSUL SA|1977-07-20|2005-12-20|CANCELADA|2005-12-20|6831|Comércio (Atacado e Varejo)|PRIVADO
IMPORTADORA DE FERRAGENS SA|1977-07-20|2010-01-04|CANCELADA|2010-01-04|6840|Comércio (Atacado e Varejo)|PRIVADO
INBRAC SA CONDUTORES ELETRICOS|1981-05-25|2002-03-05|CANCELADA|2002-03-05|6874|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
IND BAHIANA DE LAJES SA|1969-11-10|2005-03-22|CANCELADA|2005-03-22|6912|Construção Civil, Mat. Constr. e Decoração|PRIVADO
IND BIOL FARMACEUTICA AMAZ SA|1973-10-19|2005-03-22|CANCELADA|2005-03-22|6920|Farmacêutico e Higiene|PRIVADO
IND CERAMICA AMAZONIA SA INCA|1973-11-28|2007-02-14|CANCELADA|2007-02-14|6947|Extração Mineral|PRIVADO
IND AZULEJOS BAHIA SA|1971-12-30|2018-01-30|CANCELADA|2018-01-30|6955|Construção Civil, Mat. Constr. e Decoração|PRIVADO
IND BEBS ANTARCTICA AMAZ  SA|1981-11-30|1999-01-11|CANCELADA|1999-01-11|6963|Bebidas e Fumo|PRIVADO
IND BEBS ANTARCTICA MG SA|1979-12-12|1995-01-17|CANCELADA|1995-01-17|6971|Bebidas e Fumo|PRIVADO
IND BEBS ANTARCTICA NORTE-NORDESTE SA|1979-10-08|2001-11-01|CANCELADA|2001-11-01|6980|Bebidas e Fumo|PRIVADO
IND BEBS ANTARCTICA PIAUI SA|1982-07-01|1999-01-11|CANCELADA|1999-01-11|6998|Bebidas e Fumo|PRIVADO
IND BEBS ANTARCTICA POLAR SA|1966-07-05|2001-05-31|CANCELADA|2001-05-31|7005|Bebidas e Fumo|PRIVADO
IND CALCADOS ERNO SA|1977-07-20|2005-12-20|CANCELADA|2005-12-20|7013|Têxtil e Vestuário|PRIVADO
CICANORTE IND DE CONS ALIM SA|1978-03-28|2006-05-22|CANCELADA|2006-05-22|7021|Alimentos|PRIVADO HOLDING
SADOKIN SA ELETRICA ELETRONICA|1957-11-30|1998-12-18|CANCELADA|1998-12-18|7048|Metalurgia e Siderurgia|PRIVADO
CIRCULO S/A|1983-04-15|2004-05-26|CANCELADA|2004-05-26|7056|Têxtil e Vestuário|PRIVADO
IND MAQS AGRICOLAS FUCHS SA|1972-04-14|2012-10-25|CANCELADA|2012-10-25|7064|Máquinas, Equipamentos, Veículos e Peças|PRIVADO
